speaker,sex,text
steinle,M,"Steinle :
(sitzt im Fauteuil und liest in einem grossen dicken Buche)
Die Gesundheit ist des Menschen höchstes und teuerstes Gut. 
          
"
daniel,M,"Daniel:
(von rechts kommend)
Mei - Meischter, es hett g'schellt !
"
steinle,M,"Steinle :
Diss haw-ich au g'höert ; worum kumme-nr denn nit, wenn-mr ruft ?
"
daniel,M,"Daniel:
I-ich hab grad d' Müsfall g'stellt, no haw-ich mr noch d'r Finger verquetscht.
"
steinle,M,"Steinle :
's wurd nit g'fährli sinn — gehn un mache-n-uff. 
          
"
anselm,M,"Anselm :
(von rechts kommend)
Buschur. Herr Steinle, ich will fröje, ob ich Eich ebs mit soll bringe üs d'r Stadt, ich fahr doch
          grad nin mit-em Tram, e Kommission mache.
"
steinle,M,"Steinle:
Doch, Anselm, diss isch grad recht, ass-r fröje... Ihr kennte m'r üs d'r Drogerie von dem Gift
          ""Ratten- und Mäusetod"" mitbringe. Ich hab in letschter Zitt so schrecklich viel Mies in mim Hüss, bis
          in d' Stubb kumme se m'r sogar ; es isch vun nix andersch als vun d'r Mälzerei do newe-n-uns.
"
anselm,M,"Anselm :
Mir hann au soviel Mies g'hett, awer zitter ass ich vun dem ""Ratten- und Mäusetod"" gelajt hab,
          g'spiere mr kenn einzichi meh.
"
steinle,M,"Steinle :
(gibt ihm Geld)
Ebä, do Anselm, bringe mir e Päckel mit für e Franke, will Ihr doch grad in d' Stadt fahre,
          gelle!... Un wie isch's mit-em Eise do hinte am Hals, isch-r noch nit zitti ?
"
anselm,M,"Anselm :
Ich glaub, ass-r jetz doch uffgeht... es wär au ball Zitt, es isch jetzt schun in d'r vierte Wuch,
          dass ich ne hab.
"
steinle,M,"Steinle :
Nurre nit verzwifelt, Anselm, ich bring-ne schun uf, numme d' Bäbb vun Hanfsoot un Söjbohnemehl so
          heiss ufgelajt, wie Ihr's verlide kenne ; — uf muss-r un wenn alles hin geht.
"
anselm,M,"Anselm :
(kratzt sich hinter dem Ohr)
Jo, jo — — wenn ich awer emol zuem Dokter dätt gehn...
"
steinle,M,"Steinle :
(böse werdend)
Seje mr still, kenn Wort vom Dokter ; den der geht anne un schnied Ejch glich e Stück üss-em Hals un
          verderbt Ejch's Blüet mit Salwe. — — Do, noch dem Buech tu ich Ejch küriere, diss isch meh wert wie
          zehn Dokter !... Ah, un was ich noch fröje will, hann-r die Nacht guet kenne schlofe uf dene Tee, wo
          ich Ejch gänn hab ?
"
anselm,M,"Anselm :
Nit vum Beschte, ich hab mich d' ganz Nacht vun einere Sitt uf d' ander gewälzt.
"
steinle,M,"Steinle :
So, so — — 
          
"
anselm,M,"Anselm :
Exelänt isch'r, Herr Steinle ; wisse-nr, ich versteh ebs vum Schnaps, miner Babbe isch früehjer
          Fuhrmann g'sinn in-ere Schnapsbrennerej ..... ja, un ich will mich uf d' Hinterfüess mache, alle, merci
          au ...
"
steinle,M,"Steinle :
Nit d'rwärt, Anselm, un vergesse mr diss Gift nit !
"
anselm,M,"Anselm :
Aba — — ich denk dran, adje, Herr Steinle !
"
steinle,M,"Steinle :
Adje, Anselm ! 
          
"
steinle,M,"Steinle :
No wurd doch die Plöj mit dene Mies ufhöere... Wieviel Ühr isch denn au ? 
          
"
daniel,M,"Daniel :
(von links)
He -he -hatt 's g'schellt ?
"
steinle,M,"Steinle :
Do kumme here un griffe emol, ob ich wieder kalti Füess hab, ich hab wieder Rumatisse.
"
daniel,M,"Daniel:
(zieht Steinle die Pantoffeln aus und befühlt die Füsse)
D'r links isch warm, un d'r rechts - ho - ho - ho, der isch kalt wie-n-e Iszapfe am Neujohr !
"
steinle,M,"Steinle :
Ze hole glich e warme Socke — zeje m'r d'r linkse Pantoffel wieder an, d'r links Füess isch jo
          warm.
"
daniel,M,"Daniel:
(zieht Steinle den Pantoffel an, zieht zu fest, rutscht aus und fällt hin)
Ho - ho - hoi, do lejt-r !
"
steinle,M,"Steinle :
(wütend)
Ze stehn au wieder uf un mache, dass der Socke glich kummt.
"
daniel,M,"Daniel :
-So - so - sofort Meischter. 
          
"
steinle,M,"Steinle :
Der Mensch wurd alle Daa dauwer, ich glaub, der grejt als d'r Gänsdirmel. 
          
"
daniel,M,"Daniel :
(kommt von links, hat einen roten Socken in die Schürze eingewickelt)
Do - do - do haw-ich ne ! 
          
"
steinle,M,"Steinle :
Ah ! dess macht guet, füer Rumatisse isch halt nix besser wie warmi Füess, däjlich dreimol abwäsche
          mit Keschtebluescht un uf d' Nacht inriewe mit Ameisespiritüs, so steht's in dem Buech. 
          
"
daniel,M,"Daniel :
Mr sott's gar nitt füer mejli halte, ass im e Buech so heilsami Sache kenne stehn ; wo hann-r dann
          dess Buech numme häre ?
"
steinle,M,"Steinle :
Vore Johre drissig haw-ichs kauft vum e Grimpler in d'r Stadt un es rejt mich nit, denn es hett mr
          schun grossi Dienschte geleischt. 
          
"
daniel,M,"Daniel :
We - wenn ich mich nit trumbier hett's g'schellt!
"
steinle,M,"Steinle:
Gehn un mache-n-uf. 
          
"
daniel,M,"Daniel :
(hereinkommend)
Mei - Meischter, as isch iemes do, rote-n-emol wer ?
"
steinle,M,"Steinle :
Eich soll e Bumm pfatze, han-'r denn de Gänsdirmel schun wider ?! Welle-n-r glich saue, wer's isch
          !
"
robert,M,"Robert:
(von rechts kommend)
Ich bin's Unkel! Bonjour Unkel, wie geht's ? — Do haw-ich e Strüss füer Dich züe Dim 60. Geburtsdaa
          morje, un ich soll Dich vielmols grüesse von d'r Mama un Dir viel Glück wünsche züe Dim Geburtsdaa ; un
          dem Wunsch von minere Mamme schliess ich mich voll un ganz an !
"
